tracking_number,order_status,delivery_method,order_id
TRK100001,shipped,express,1
TRK100002,pending,pickup,2
TRK100003,shipped,standard,3
TRK100004,pending,pickup,4
TRK100005,delivered,pickup,5
TRK100006,shipped,express,6
TRK100007,delivered,standard,7
TRK100008,pending,pickup,8
TRK100009,pending,standard,9
TRK100010,pending,express,10
TRK100011,delivered,express,11
TRK100012,shipped,standard,12
TRK100013,shipped,express,13
TRK100014,shipped,pickup,14
TRK100015,shipped,pickup,15
TRK100016,delivered,standard,16
TRK100017,pending,express,17
TRK100018,shipped,standard,18
TRK100019,shipped,pickup,19
TRK100020,pending,pickup,20
TRK100021,pending,express,21
TRK100022,delivered,express,22
TRK100023,pending,standard,23
TRK100024,shipped,standard,24
TRK100025,shipped,standard,25
TRK100026,delivered,express,26
TRK100027,shipped,standard,27
TRK100028,shipped,standard,28
TRK100029,pending,pickup,29
TRK100030,shipped,express,30
TRK100031,shipped,pickup,31
TRK100032,shipped,pickup,32
TRK100033,pending,standard,33
TRK100034,pending,standard,34
TRK100035,shipped,standard,35
TRK100036,delivered,standard,36
TRK100037,delivered,pickup,37
TRK100038,delivered,express,38
TRK100039,delivered,standard,39
TRK100040,shipped,express,40
TRK100041,shipped,express,41
TRK100042,shipped,express,42
TRK100043,pending,standard,43
TRK100044,delivered,pickup,44
TRK100045,delivered,express,45
TRK100046,shipped,pickup,46
TRK100047,pending,pickup,47
TRK100048,pending,pickup,48
TRK100049,pending,express,49
TRK100050,pending,standard,50
TRK100051,shipped,pickup,51
TRK100052,shipped,pickup,52
TRK100053,delivered,pickup,53
TRK100054,pending,standard,54
TRK100055,delivered,express,55
TRK100056,shipped,pickup,56
TRK100057,shipped,standard,57
TRK100058,pending,express,58
TRK100059,delivered,standard,59
TRK100060,delivered,standard,60
TRK100061,shipped,express,61
TRK100062,pending,standard,62
TRK100063,pending,pickup,63
TRK100064,pending,express,64
TRK100065,delivered,pickup,65
TRK100066,pending,express,66
TRK100067,pending,standard,67
TRK100068,pending,express,68
TRK100069,pending,standard,69
TRK100070,shipped,express,70
TRK100071,pending,standard,71
TRK100072,delivered,standard,72
TRK100073,delivered,express,73
TRK100074,delivered,standard,74
TRK100075,pending,standard,75
TRK100076,shipped,standard,76
TRK100077,shipped,standard,77
TRK100078,shipped,pickup,78
TRK100079,pending,express,79
TRK100080,delivered,express,80
TRK100081,delivered,standard,81
TRK100082,delivered,pickup,82
TRK100083,delivered,express,83
TRK100084,shipped,standard,84
TRK100085,pending,standard,85
TRK100086,pending,express,86
TRK100087,pending,express,87
TRK100088,pending,express,88
TRK100089,pending,pickup,89
TRK100090,shipped,pickup,90
TRK100091,delivered,standard,91
TRK100092,pending,express,92
TRK100093,shipped,standard,93
TRK100094,pending,pickup,94
TRK100095,delivered,express,95
TRK100096,pending,pickup,96
TRK100097,shipped,pickup,97
TRK100098,delivered,express,98
TRK100099,pending,express,99
TRK100100,shipped,express,100
TRK100101,pending,standard,101
TRK100102,shipped,express,102
TRK100103,pending,pickup,103
TRK100104,delivered,standard,104
TRK100105,shipped,pickup,105
TRK100106,pending,express,106
TRK100107,shipped,pickup,107
TRK100108,shipped,express,108
TRK100109,shipped,standard,109
TRK100110,shipped,pickup,110
TRK100111,delivered,pickup,111
TRK100112,pending,standard,112
TRK100113,pending,pickup,113
TRK100114,delivered,express,114
TRK100115,shipped,standard,115
TRK100116,pending,standard,116
TRK100117,shipped,standard,117
TRK100118,pending,pickup,118
