quantity,order_id,Items_id
5,66,384
7,190,368
7,178,223
4,147,115
5,87,342
10,12,252
8,223,74
9,131,246
9,360,374
2,113,44
9,123,371
7,50,291
8,276,122
8,85,305
1,325,325
4,236,368
1,371,100
1,367,68
1,363,111
8,252,48
9,9,208
10,177,397
1,50,393
3,98,316
4,58,254
8,394,65
10,1,143
4,364,122
5,166,364
8,19,390
5,118,30
4,16,41
9,327,308
2,216,54
2,92,208
2,328,174
4,328,128
3,113,331
3,249,164
4,347,378
10,7,62
5,303,33
10,88,225
5,164,182
4,61,46
10,24,316
4,295,193
7,384,149
7,313,14
10,211,36
5,334,95
1,204,285
7,225,237
3,327,92
2,74,140
10,19,343
2,254,325
9,244,3
10,392,170
10,312,54
7,263,208
8,191,244
4,105,351
9,119,214
9,130,315
5,382,154
8,213,242
7,354,84
5,17,145
6,8,47
8,310,367
3,340,108
1,379,185
8,137,18
10,278,324
7,194,80
1,291,236
7,5,355
9,396,366
9,302,196
8,216,211
3,40,61
6,182,49
5,165,262
2,62,156
9,136,360
3,179,202
2,369,268
3,37,190
9,283,389
9,186,103
2,379,64
2,235,67
4,122,97
2,112,107
1,51,202
3,396,228
9,391,314
7,272,258
8,117,20
3,23,384
7,394,137
4,80,397
2,339,234
4,220,89
3,189,118
8,189,326
5,115,46
1,159,88
6,49,227
9,145,173
6,200,110
3,91,152
6,236,161
6,320,372
9,24,53
1,11,361
6,179,40
10,219,13
5,95,86
2,261,12
7,236,261
1,126,269
10,311,206
5,98,312
4,92,326
1,54,274
6,142,259
1,151,244
4,288,287
10,209,380
3,128,354
5,324,302
9,160,210
4,254,50
1,304,249
4,16,61
10,358,39
3,19,266
5,318,109
7,159,239
1,213,190
5,210,12
7,87,389
10,44,363
9,137,63
5,304,62
1,292,165
5,398,340
6,354,142
5,289,47
6,239,112
3,100,18
9,197,228
8,244,232
4,325,201
8,302,277
7,83,250
5,104,223
4,89,115
6,298,199
1,245,136
5,155,200
4,371,226
7,321,150
7,387,128
5,31,324
6,34,88
6,205,216
8,11,121
2,79,163
8,62,337
10,122,227
4,363,149
8,83,118
3,390,197
9,363,392
3,368,198
9,53,151
3,304,93
8,51,337
6,148,349
9,337,308
4,116,156
4,81,148
9,13,188
3,84,285
7,59,219
3,237,336
10,276,73
6,266,157
7,253,307
8,183,56
2,158,206
10,237,319
9,149,282
3,127,157
10,135,94
8,260,342
3,110,79
7,336,77
7,111,175
1,223,96
6,280,303
7,202,287
3,24,184
10,169,227
8,195,107
5,134,171
1,234,15
1,175,255
5,228,32
5,257,95
9,168,35
10,15,33
8,249,223
4,100,218
8,35,332
1,305,135
4,135,354
8,100,372
1,260,260
8,136,214
7,154,124
10,46,292
9,191,155
9,367,335
3,392,55
10,1,179
4,247,149
5,192,134
7,364,150
5,168,261
1,237,223
2,326,378
6,220,147
1,332,323
2,152,398
7,325,373
1,49,238
6,320,23
1,58,350
5,153,311
7,218,267
5,339,256
3,38,27
9,87,194
8,132,155
4,46,258
1,255,325
7,22,356
8,304,255
6,23,343
3,299,324
10,128,13
6,23,395
8,54,374
1,68,14
7,384,219
8,170,113
2,18,227
8,52,87
10,209,310
6,344,390
8,7,53
6,301,189
10,218,248
10,206,35
6,398,365
3,393,225
8,236,229
8,33,357
1,340,25
6,191,126
8,325,330
9,24,320
7,391,190
2,167,372
2,46,304
3,110,214
4,360,332
8,368,347
6,300,217
6,125,160
8,152,127
3,64,371
4,111,357
10,216,55
10,243,72
7,360,253
7,25,234
7,76,256
3,32,379
7,227,349
4,245,116
1,129,179
3,81,190
7,52,242
8,397,106
5,153,274
3,291,280
10,186,348
10,12,145
3,208,193
2,186,145
9,121,351
10,189,242
2,147,243
7,268,381
1,20,42
6,291,5
10,141,134
8,363,169
7,89,339
7,344,276
6,35,348
1,299,187
9,341,252
7,160,345
3,135,175
6,389,347
2,33,72
8,203,361
8,155,9
8,176,333
4,187,93
2,77,291
4,69,252
1,272,206
4,92,30
5,300,337
5,374,9
5,176,6
5,387,199
7,39,88
2,47,315
6,28,280
2,216,339
7,315,129
5,154,256
10,186,394
7,249,47
7,400,171
3,325,274
8,78,180
2,267,356
1,68,175
10,65,5
1,101,19
8,360,257
8,345,153
2,66,32
6,59,98
8,152,183
10,349,72
1,71,356
10,385,254
1,50,123
1,273,174
1,200,41
6,20,45
10,394,307
5,397,152
8,271,101
7,305,196
6,330,236
3,253,305
6,268,350
2,74,220
8,146,379
4,72,80
6,374,119
3,160,299
5,35,277
8,301,80
4,47,205
2,228,170
2,307,113
7,257,28
10,93,70
4,311,399
10,388,150
1,89,288
1,61,172
9,135,267
10,163,387
3,238,79
7,338,364
8,224,192
3,2,169
7,377,328
9,19,316
3,384,321
10,319,358
10,16,55
6,77,271
9,158,141
3,158,382
3,67,219
7,297,269
