rating,feedbacks_id,feedbacks_date,comment_text,Items_id,customer_id
3.6,1,2023-09-18,Dinner conference add move ever window network recently call than make.,143,268
7.1,2,2025-02-26,Off light key continue anything wait local.,84,42
9.6,3,2025-01-18,Husband available picture approach chance none fight yes.,288,292
3.8,4,2023-07-22,Share paper so difficult mission late kind team wrong figure perform participant science way debate.,226,91
1.5,5,2023-10-01,Produce church community avoid able late order fact discuss religious reflect.,122,164
6.4,6,2024-04-07,Reach under skin person product value interesting name.,239,380
1.5,7,2024-09-05,Training step author coach film see notice eye buy.,42,147
8.4,8,2024-10-06,Record wall matter management ball always it focus economy before while.,328,69
6.9,9,2025-01-29,Onto again share start office several compare million kind everything young job sport why like.,400,310
3.9,10,2024-03-03,Fly bit claim in many production hundred set already because education break.,234,218
5.6,11,2024-12-11,Ten stay ability thank left approach million performance material kind appear environment capital.,300,53
7.0,12,2023-11-30,Thing machine ahead picture son report financial add impact different success box water.,339,258
1.8,13,2024-09-05,Marriage respond meeting event strong woman during necessary himself.,253,259
3.0,14,2025-04-06,Meet these tell everybody so increase various meet star executive fear only your majority chance Mrs.,274,273
7.8,15,2024-01-14,Necessary myself lay focus country recently occur do simply analysis seat relate.,40,342
3.0,16,2025-01-10,History professional star wonder manager already maybe opportunity thank them key moment.,353,154
6.6,17,2024-04-09,Reveal improve pressure child light wide full.,180,192
7.6,18,2024-10-10,Power system system teacher here first responsibility service their along attention piece TV.,61,176
2.5,19,2023-10-14,Its better plant their kitchen really tough animal.,186,391
2.6,20,2024-12-29,Fall hear certainly most not society color bad.,206,317
1.9,21,2025-02-25,People drive tree central leave effect effort act source top quality citizen.,224,398
1.5,22,2024-03-29,Write federal while real lead few yourself table blood high grow fast.,261,51
5.0,23,2024-10-15,Against stop how account ten sing wind treat seat strategy total.,178,218
2.2,24,2024-12-13,Parent good PM per question return process stuff pick tough.,101,163
8.1,25,2024-09-04,Final kid often run bed far section.,309,240
4.2,26,2023-09-04,Car much will most tree store either station loss southern.,318,187
6.3,27,2024-11-20,Sound life away senior difficult put purpose however suffer newspaper bed house.,392,396
8.9,28,2023-11-12,Buy happy see energy herself police he push likely people wall foreign particular positive play.,173,61
4.1,29,2024-04-15,Power bring animal also you break doctor Mr home he we.,241,256
4.1,30,2024-10-12,Industry score choice increase between majority impact week allow have kitchen wear talk between rate.,352,168
7.2,31,2024-06-16,Art every why we station begin deep police wife anything four writer.,7,335
4.0,32,2024-12-22,Day stop never only spend do similar small other everyone worker would music sometimes body.,48,284
2.4,33,2025-02-21,Capital group small open administration enter camera.,358,172
1.9,34,2024-03-12,Box as large gun order later develop past road training probably feeling poor all your.,131,17
