suppliers_id,suppliers_name,phone,address
1,Kamba,149-964-5147,0 Browning Way
2,Eire,215-944-8938,44494 Fieldstone Street
3,Skyba,746-245-4666,58553 Carberry Plaza
4,Photobean,946-714-4204,9 Johnson Lane
5,Fiveclub,865-535-4839,71185 Packers Plaza
6,Brightbean,866-499-3997,2928 Monica Parkway
7,Leenti,895-432-1192,56 Hagan Circle
8,Mudo,434-199-5807,0 American Ash Lane
9,Oba,805-433-4188,4 Thompson Street
10,Youtags,650-620-3033,2187 Melvin Crossing
11,Ntag,662-476-4668,9 Doe Crossing Park
12,Linkbridge,179-620-5535,3021 Sherman Point
13,Photobug,781-980-3235,41599 Eastwood Crossing
14,Agivu,249-609-7849,78730 Lillian Plaza
15,Omba,943-215-5578,5 Butternut Way
16,Youbridge,620-560-1221,85877 Nobel Circle
17,Lazzy,780-779-0583,17525 Londonderry Point
18,Devpulse,391-559-8229,7741 Quincy Trail
19,Divanoodle,450-723-1269,0643 Lake View Road
20,Latz,872-705-6525,85 Holmberg Center
21,Voonder,769-315-7928,262 Chinook Crossing
22,Skivee,240-522-0312,8894 Mitchell Court
23,Gabcube,765-673-4475,458 Harbort Alley
24,Thoughtbridge,132-272-7713,73 Delladonna Point
25,Photofeed,919-544-7577,275 Iowa Hill
26,Plajo,380-885-5684,738 Dahle Plaza
27,Skyndu,868-896-0343,657 Blue Bill Park Trail
28,Edgeify,780-979-9515,1576 Welch Place
29,Wordtune,113-246-6297,58208 Village Green Alley
30,Skipfire,298-958-5539,00508 Ridge Oak Park
31,Photospace,955-532-6779,734 Kinsman Court
32,Aivee,914-663-3905,736 Anderson Center
33,Digitube,151-778-4347,190 Doe Crossing Hill
34,Roomm,517-292-1692,3 Sutherland Drive
35,Realpoint,388-848-8487,27 Loftsgordon Place
36,Bluezoom,776-528-2077,1010 Dixon Road
37,Dablist,685-917-6965,06710 Talmadge Way
38,Katz,990-221-2325,509 Dixon Avenue
39,Twinder,817-688-1179,61542 Kenwood Way
40,Voonte,725-336-9608,4 Colorado Center
41,Yadel,333-743-7196,464 International Circle
42,Mybuzz,633-482-0425,533 Kim Crossing
43,Photobug,793-630-4883,1 Southridge Avenue
44,Livepath,616-427-2507,183 Superior Lane
45,Wikido,808-783-1018,6654 Hazelcrest Street
46,Gabcube,920-741-5908,9 Elka Plaza
47,Realbridge,865-501-9062,17034 Huxley Way
48,Yozio,913-447-4743,0390 Thompson Place
49,Photobug,609-460-6699,4157 Forest Run Hill
50,Leenti,951-144-2617,6399 Amoth Street
51,Blogspan,724-534-3532,98 Graedel Pass
52,Quatz,959-744-6099,12 Stoughton Center
53,Oyoyo,315-576-3916,04312 Steensland Street
54,Minyx,753-668-1364,227 Green Trail
55,Topiclounge,653-282-2493,5490 Kensington Avenue
56,Youbridge,999-419-9128,51 Quincy Trail
57,Skimia,678-248-2110,8 Village Green Hill
58,Tagchat,746-431-8126,969 Sunfield Plaza
59,Trudoo,828-394-2260,78 Arkansas Pass
60,Flipopia,485-982-7596,02 Declaration Place
61,Buzzshare,196-549-5454,797 Milwaukee Terrace
62,Voomm,109-229-4703,56645 Ruskin Street
63,Shuffledrive,952-410-2226,98180 Eagan Trail
64,Voomm,464-159-9090,9972 Bluestem Crossing
65,Dabshots,510-368-6682,9 Ludington Drive
66,Snaptags,149-452-3699,6 Sommers Street
67,Devify,979-930-1448,20589 Elka Center
68,Browsetype,432-545-3687,84135 Katie Point
69,Edgeblab,744-739-1451,671 Vahlen Point
70,Aibox,753-572-4966,9627 Eastwood Park
71,Vinte,449-927-3041,0 Katie Park
72,Shufflebeat,836-123-6316,05 Dwight Court
73,Eadel,592-475-5815,4 Loeprich Way
74,Babblestorm,731-380-4630,9837 Grim Drive
75,Skinder,911-406-0929,59487 Monica Lane
76,Realcube,879-999-5920,187 Hanover Alley
77,Babbleset,878-745-7332,83689 Forest Place
